Name,ID,Coverage Result,Description,Depth,Node Kind,Metric Kind,Item,Owner,Priority,Milestone,Weight,Issue,Comment
mem_xyz,,,A synchronous memory with a parameterizable address width and data width.,0,dut,,,,,,,,
testlist,,,Testlist,1,title,,,,,,,,
main_test,req_mem_xyz_1324,,Main test,2,coverage,testcase,tc_my_test,Michel,1,V1,5,#15926,
bad_addr,req_mem_xyz_0E55,,Bad address,2,coverage,testcase,tc_addr_err,Andrew,2,V3,3,#15927,
fcov,,,Feature coverage,1,title,,,,,,,,
addr_space,req_mem_xyz_162F,,All address space,2,coverage,functional,cp_addr,Francesca,1,V1,2,#14562,
rw_cmd,req_mem_xyz_0882,,Read and write commands,2,coverage,functional,cp_cmd,Michel,1,V1,2,#14562,
rw_addr_space,req_mem_xyz_24BE,,Read and write to all address space,2,coverage,functional,cp_addr_x_cp_cmd,Francesca,1,V1,2,#14562,
mem_full,req_mem_xyz_0F0A,,Reach memory full,2,coverage,functional,cp_full,Andrew,2,V2,3,#14562,This cannot be tested if block_abc is not ready
concurrent_rw,req_mem_xyz_2730,,Read and write simultaneously,2,coverage,assertion,assert_rd_wr,Andrew,3,V3,2,#11487,
addr_width_8bits,req_mem_xyz_364E,,Address 8 bits width,2,coverage,formal,fpv_addr_8bits,Andrew,1,V2,1,#2287,
addr_width_16bits,req_mem_xyz_3A6A,,Address 16 bits width,2,coverage,formal,fpv_addr_16bits,Andrew,1,V2,1,#2287,
addr_width_32bits,req_mem_xyz_3A4E,,Address 32 bits width,2,coverage,formal,fpv_addr_32bits,Andrew,3,V2,1,#2287,
data_width_8bits,req_mem_xyz_3637,,Data width 8 bits,2,coverage,formal,fpv_data_8width,Andrew,1,V2,1,#2287,
instanciate_fifo_common_lib,req_mem_xyz_9A4D,,"Uses the FIFO from the common library",2,vplan,,vplan_fifo,,1,V1,10,#2145,Incorporate the sub-module verification plan
...,...,,...,...,...,...,...,...,...,,,...,
mem_depth,req_mem_xyz_12A4,,Memory depth,2,coverage,formal,fpv_mem_depth,Andrew,1,,1,#2287,
code_cov,,,Code coverage,1,title,,,,,V3,40%,,
code_cov_statement,req_mem_xyz_47D7,,Statement,2,coverage,code,s_cov(memory_xyz),,3,,,#7894,Need to run UNR before
code_cov_fsm,req_mem_xyz_2047,,FSM,2,coverage,code,f_cov(memory_xyz),,3,,,#7894,
code_cov_branch,req_mem_xyz_309C,,Branch...,2,coverage,code,b_cov(memory_xyz),,3,,,#7894,
